Search Title(s),Tweet ID,Text,Created At,Likes,Retweets,Replies,Username
"STRAW, Titan: The OceanGate Submersible Disaster, Plane, Trainwreck: The Astroworld Tragedy, Bee Movie, Get Hard, World War Z, The Super Mario Bros. Movie, Wonka, Mission: Impossible - Dead Reckoning",1937322844444070160,@InternetH0F It’s cold air being pumped into a warm humid plane. You’re good lol,2025-06-24 01:32:14+00:00,0,0,0,AlicefromWonde5
"STRAW, Titan: The OceanGate Submersible Disaster, Plane, Trainwreck: The Astroworld Tragedy, Bee Movie, Get Hard, World War Z, The Super Mario Bros. Movie, Wonka, Mission: Impossible - Dead Reckoning",1937322827847524849,RT @tawnsh0p: @Shedletsky what do you think of my road blocks art shedletsky..... (ignore the plane) https://t.co/JcmvkoMV7y,2025-06-24 01:32:10+00:00,0,6,0,rotfestival
"STRAW, Titan: The OceanGate Submersible Disaster, Plane, Trainwreck: The Astroworld Tragedy, Bee Movie, Get Hard, World War Z, The Super Mario Bros. Movie, Wonka, Mission: Impossible - Dead Reckoning",1937322827171942657,"RT @SanUvacha: Khalistani terrorists bombed that plane—331 innocent lives lost. And yet, in Canada, those same terrorists are still glorifi…",2025-06-24 01:32:10+00:00,0,12,0,Sbmvv2000
"STRAW, Titan: The OceanGate Submersible Disaster, Plane, Trainwreck: The Astroworld Tragedy, Bee Movie, Get Hard, World War Z, The Super Mario Bros. Movie, Wonka, Mission: Impossible - Dead Reckoning",1937322826526028053,"RT @Lucithen0: A little scene I made for Father's Day (though posting a bit late haha).
Mudwing boi floating in a flooded plane!

#art #Art…",2025-06-24 01:32:10+00:00,0,21,0,vinndraal
"STRAW, Titan: The OceanGate Submersible Disaster, Plane, Trainwreck: The Astroworld Tragedy, Bee Movie, Get Hard, World War Z, The Super Mario Bros. Movie, Wonka, Mission: Impossible - Dead Reckoning",1937322824248525131,"RT @sheistteru: ""Gogo. Was there ever a time...... when I wasn’t by your side?"" -&gt; BRO STOP WHY DID YOU SAY THIS TO ME https://t.co/ccTSx5G…",2025-06-24 01:32:09+00:00,0,1,0,syynus
"STRAW, Titan: The OceanGate Submersible Disaster, Plane, Trainwreck: The Astroworld Tragedy, Bee Movie, Get Hard, World War Z, The Super Mario Bros. Movie, Wonka, Mission: Impossible - Dead Reckoning",1937322823518945638,"RT @Partisangirl: Never forget:
Qatar funded the war on Iraq.
Qatar funded the war on Syria.
Qatar lets US military bases strike Iran.
Qata…",2025-06-24 01:32:09+00:00,0,2742,0,mikeinmaehia
"STRAW, Titan: The OceanGate Submersible Disaster, Plane, Trainwreck: The Astroworld Tragedy, Bee Movie, Get Hard, World War Z, The Super Mario Bros. Movie, Wonka, Mission: Impossible - Dead Reckoning",1937322814270505134,"RT @zarahsultana: You can repair a plane. You can replace a broken window. But you can’t bring back the dead.

We must defend the right to…",2025-06-24 01:32:07+00:00,0,5055,0,Interim_Larkin
"STRAW, Titan: The OceanGate Submersible Disaster, Plane, Trainwreck: The Astroworld Tragedy, Bee Movie, Get Hard, World War Z, The Super Mario Bros. Movie, Wonka, Mission: Impossible - Dead Reckoning",1937322808595390872,"RT @Partisangirl: Never forget:
Qatar funded the war on Iraq.
Qatar funded the war on Syria.
Qatar lets US military bases strike Iran.
Qata…",2025-06-24 01:32:05+00:00,0,2742,0,jozfv1
"STRAW, Titan: The OceanGate Submersible Disaster, Plane, Trainwreck: The Astroworld Tragedy, Bee Movie, Get Hard, World War Z, The Super Mario Bros. Movie, Wonka, Mission: Impossible - Dead Reckoning",1937322795832049738,@jammles9 @AllisonPapson @lauraevansmedia You really are incorrect. All train travel is like plane travel- purchase your tickets early and they are reasonable,2025-06-24 01:32:02+00:00,0,0,0,deansfam4
"STRAW, Titan: The OceanGate Submersible Disaster, Plane, Trainwreck: The Astroworld Tragedy, Bee Movie, Get Hard, World War Z, The Super Mario Bros. Movie, Wonka, Mission: Impossible - Dead Reckoning",1937322795043815699,"RT @ICEgov: Why didn’t they self-deport⁉️

These two Guatemalan illegal aliens could have received a plane ticket home and a $1,000 stipend…",2025-06-24 01:32:02+00:00,0,1373,0,evan76082817
